id,?column?,file
2817,التحليل التوافقي ـ الجلسة 8,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2817/____D8____A7____D9____84____D8____AC____D8____B2____D8____A1_____D8____A7____D9____84____D8____AB____D8____A7____D9____86____D9____8A_____D8____A7____D9____84____D8____AA____D8____AD____D9____84____D9____8A____D9____84_____D8____A7____D9____84____D8____AA____D9____88____D8____A7____D9____81____D9____82____D9____8A_____D8____A7____D9____84____D8____AC____D9____84____D8____B3____D8____A9_8_1.pdf
870,المشتقات من مراتب عليا,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/870/2025.07.29.09.25.11.193224.pdf
700,السؤال 10 وحدة اولى أشعة,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/700/2024.09.26.09.52.43.823772.pdf
868,التناظر بالنسبة لنقطة,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/868/____D8____A7____D9____84____D8____AA____D9____86____D8____A7____D8____B8____D8____B1____20____D8____A8____D8____A7____D9____84____D9____86____D8____B3____D8____A8____D8____A9____20____D9____84____D9____86____D9____82____D8____B7____D8____A9.pdf
2434,اشتقاق - تمارين الوحدة,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2434/____D8____A7____D9____84____D8____B3____D8____A4____D8____A7____D9____84____201.pdf
2434,اشتقاق - تمارين الوحدة,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2434/____D8____A7____D9____84____D8____B3____D8____A4____D8____A7____D9____84____202____20(2).pdf
2434,اشتقاق - تمارين الوحدة,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2434/____D8____A7____D9____84____D8____B3____D8____A4____D8____A7____D9____84____203____20____D8____A7____D8____B4____D8____AA____D9____82____D8____A7____D9____82.pdf
2434,اشتقاق - تمارين الوحدة,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2434/____D8____A7____D9____84____D8____B3____D8____A4____D8____A7____D9____84____204.pdf
2434,اشتقاق - تمارين الوحدة,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2434/____D8____A7____D9____84____D8____B3____D8____A4____D8____A7____D9____84____205.pdf
2434,اشتقاق - تمارين الوحدة,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2434/____D8____A7____D9____84____D8____B3____D8____A4____D8____A7____D9____84____206____20____D8____A7____D8____B4____D8____AA____D9____82____D8____A7____D9____82.pdf
